B01001_001E,B19013_001E,NAME,state,county
21565,46650,"Fayette County, Illinois",17,051
29003,57308,"Logan County, Illinois",17,107
23994,44090,"Saline County, Illinois",17,165
701473,89427,"Lake County, Illinois",17,097
14219,47481,"Massac County, Illinois",17,127
12493,52373,"Cass County, Illinois",17,017
36359,53632,"Huntington County, Indiana",18,069
24149,54576,"White County, Indiana",18,181
20840,47658,"Jay County, Indiana",18,075
44438,60404,"Shelby County, Indiana",18,145
20730,50245,"Sullivan County, Indiana",18,153
191553,53130,"Tippecanoe County, Indiana",18,157
323117,98173,"Hamilton County, Indiana",18,057
82481,63431,"Bartholomew County, Indiana",18,005
20096,52034,"Fulton County, Indiana",18,049
47506,56789,"Noble County, Indiana",18,113
116507,55630,"Clark County, Indiana",18,019
163799,81933,"Hendricks County, Indiana",18,063
66452,44356,"Grant County, Indiana",18,053
44025,51250,"Jackson County, Indiana",18,071
20835,49543,"Owen County, Indiana",18,119
33730,61741,"Whitley County, Indiana",18,183
32273,54286,"Clinton County, Indiana",18,023
7113,50375,"Union County, Indiana",18,161
49479,68658,"Dearborn County, Indiana",18,029
45548,53610,"Lawrence County, Indiana",18,093
19102,52348,"Perry County, Indiana",18,123
25560,64196,"Posey County, Indiana",18,129
20074,54806,"Carroll County, Indiana",18,015
16430,52874,"Fountain County, Indiana",18,045
22952,51190,"Starke County, Indiana",18,149
32159,51613,"Greene County, Indiana",18,055
25636,67729,"Benton County, Iowa",19,011
96982,63031,"Dubuque County, Iowa",19,061
6797,52448,"Pocahontas County, Iowa",19,151
7150,48591,"Van Buren County, Iowa",19,177
3670,49255,"Adams County, Iowa",19,003
5571,52055,"Audubon County, Iowa",19,009
8920,63404,"Davis County, Iowa",19,051
6901,58427,"Ida County, Iowa",19,093
7807,58269,"Monroe County, Iowa",19,135
34827,69844,"Sioux County, Iowa",19,167
9744,52323,"Calhoun County, Iowa",19,025
42834,53963,"Cerro Gordo County, Iowa",19,033
17061,54196,"Hardin County, Iowa",19,083
8583,55205,"Lucas County, Iowa",19,117
9003,52932,"Palo Alto County, Iowa",19,147
19941,53501,"Henry County, Iowa",19,087
36971,58952,"Jasper County, Iowa",19,099
18388,53852,"Poweshiek County, Iowa",19,157
17625,53152,"Clayton County, Iowa",19,043
24864,70395,"Bremer County, Iowa",19,017
9438,51563,"Emmet County, Iowa",19,063
10802,61761,"Hancock County, Iowa",19,081
19401,55967,"Jackson County, Iowa",19,097
34227,49564,"Lee County, Iowa",19,111
50076,77048,"Warren County, Iowa",19,181
22164,54825,"Mahaska County, Iowa",19,123
16211,50521,"Clay County, Iowa",19,041
17183,63750,"Delaware County, Iowa",19,055
11201,37519,"Bacon County, Georgia",13,005
18756,38857,"Brantley County, Georgia",13,025
17033,32229,"Ben Hill County, Georgia",13,017
22520,44151,"Burke County, Georgia",13,033
66700,56235,"Catoosa County, Georgia",13,047
10560,47096,"Chattahoochee County, Georgia",13,053
24812,36807,"Chattooga County, Georgia",13,055
150705,82339,"Columbia County, Georgia",13,073
26682,41481,"Decatur County, Georgia",13,087
97369,48336,"Floyd County, Georgia",13,115
228383,107218,"Forsyth County, Georgia",13,117
44626,50563,"Habersham County, Georgia",13,137
25773,43204,"Hart County, Georgia",13,147
115364,42441,"Lowndes County, Georgia",13,185
14174,49504,"McIntosh County, Georgia",13,191
21106,37121,"Meriwether County, Georgia",13,199
27171,54754,"Monroe County, Georgia",13,207
21691,51606,"Putnam County, Georgia",13,237
30064,36681,"Sumter County, Georgia",13,261
1611,37446,"Taliaferro County, Georgia",13,265
5297,37203,"Warren County, Georgia",13,301
6429,44768,"Wayne County, Iowa",19,185
172446,61183,"Scott County, Iowa",19,163
5938,54754,"Sherman County, Kansas",20,181
7810,60124,"Thomas County, Kansas",20,193
5566,55658,"Morris County, Kansas",20,127
5053,49415,"Rooks County, Kansas",20,163
2026,53348,"Clark County, Kansas",20,025
5594,49865,"Harper County, Kansas",20,077
33251,46338,"Lyon County, Kansas",20,111
6629,49917,"Pawnee County, Kansas",20,145
1740,54821,"Comanche County, Kansas",20,033
2644,48317,"Gove County, Kansas",20,063
34503,57982,"Harvey County, Kansas",20,079
3907,52599,"Kearny County, Kansas",20,093
28567,59089,"McPherson County, Kansas",20,113
11709,31893,"Desha County, Arkansas",05,041
12231,35405,"Fulton County, Arkansas",05,049
13311,36059,"Howard County, Arkansas",05,061
98555,44777,"Garland County, Arkansas",05,051
42126,39962,"Mississippi County, Arkansas",05,093
63761,43462,"Pope County, Arkansas",05,115
8189,42660,"Prairie County, Arkansas",05,117
39449,44663,"Union County, Arkansas",05,139
6533,32845,"Woodruff County, Arkansas",05,147
25100,44483,"Cleburne County, Arkansas",05,023
8128,46684,"Cleveland County, Arkansas",05,025
17027,34109,"Jackson County, Arkansas",05,067
21842,42860,"Hempstead County, Arkansas",05,057
17139,34671,"Sharp County, Arkansas",05,135
12475,38188,"Stone County, Arkansas",05,137
232289,50451,"Washington County, Arkansas",05,143
41427,42260,"Baxter County, Arkansas",05,005
20270,44744,"Ashley County, Arkansas",05,003
107345,47286,"Craighead County, Arkansas",05,031
44937,47056,"Greene County, Arkansas",05,055
10355,48667,"Perry County, Arkansas",05,105
23896,40921,"Poinsett County, Arkansas",05,111
17081,47704,"Sevier County, Arkansas",05,133
5192,46417,"Calhoun County, Arkansas",05,013
22386,41620,"Clark County, Arkansas",05,019
16549,39993,"Lawrence County, Arkansas",05,075
7050,38468,"Monroe County, Arkansas",05,095
20858,42802,"Conway County, Arkansas",05,029
7812,38082,"Newton County, Arkansas",05,101
17914,46696,"Arkansas County, Arkansas",05,001
72528,59094,"Lonoke County, Arkansas",05,085
27965,46110,"Carroll County, Arkansas",05,015
25900,35348,"St. Francis County, Arkansas",05,123
392967,51749,"Pulaski County, Arkansas",05,119
271382,53672,"Merced County, California",06,047
17420,48820,"Mariposa County, California",06,043
8907,45507,"Modoc County, California",06,049
1142251,99716,"Contra Costa County, California",06,013
17977,57316,"Inyo County, California",06,027
543194,60704,"Stanislaus County, California",06,099
444829,74624,"Santa Barbara County, California",06,083
63912,44514,"Tehama County, California",06,103
14310,62260,"Mono County, California",06,051
60376,86958,"San Benito County, California",06,069
37063,72624,"Bryan County, Georgia",13,029
24090,43471,"Butts County, Georgia",13,035
53231,56951,"Camden County, Georgia",13,039
12325,46283,"Crawford County, Georgia",13,079
10312,30640,"Early County, Georgia",13,099
43021,40859,"Coffee County, Georgia",13,069
143260,75913,"Coweta County, Georgia",13,077
30414,52625,"Gilmer County, Georgia",13,123
91442,61599,"Walton County, Georgia",13,297
9844,37838,"Wilkes County, Georgia",13,317
20829,39302,"Dodge County, Georgia",13,091
57202,45865,"Gordon County, Georgia",13,129
247515,82740,"Cherokee County, Georgia",13,057
112303,90145,"Fayette County, Georgia",13,113
29502,69280,"Lee County, Georgia",13,177
31387,67631,"Pickens County, Georgia",13,227
17349,52129,"Greene County, Georgia",13,133
17177,41854,"Cook County, Georgia",13,075
24536,66281,"Dawson County, Georgia",13,085
1036200,69673,"Fulton County, Georgia",13,121
199459,62409,"Hawaii County, Hawaii",15,001
984821,85857,"Honolulu County, Hawaii",15,003
71769,83554,"Kauai County, Hawaii",15,007
66,69375,"Kalawao County, Hawaii",15,005
23690,52935,"Cassia County, Idaho",16,031
5350,50053,"Lincoln County, Idaho",16,063
10709,64475,"Valley County, Idaho",16,085
13464,57215,"Franklin County, Idaho",16,041
40217,58107,"Nez Perce County, Idaho",16,069
157322,57242,"Kootenai County, Idaho",16,055
20705,53370,"Minidoka County, Idaho",16,067
84869,52919,"Twin Falls County, Idaho",16,083
22373,56694,"Blaine County, Idaho",16,013
7378,59646,"Boise County, Idaho",16,015
2581,42132,"Butte County, Idaho",16,023
15148,47204,"Gooding County, Idaho",16,047
456849,66293,"Ada County, Idaho",16,001
6000,54167,"Bear Lake County, Idaho",16,007
45839,55472,"Bingham County, Idaho",16,011
1048,39688,"Camas County, Idaho",16,025
8673,43915,"Clearwater County, Idaho",16,035
28534,63048,"Jefferson County, Idaho",16,051
373340,52426,"Lane County, Oregon",41,039
6523,57962,"Surry County, Virginia",51,181
14423,80026,"Clarke County, Virginia",51,043
30728,43207,"Mecklenburg County, Virginia",51,117
75079,62711,"Augusta County, Virginia",51,015
22865,93994,"Goochland County, Virginia",51,075
13170,57895,"Madison County, Virginia",51,113
93823,68948,"Roanoke County, Virginia",51,161
16520,44434,"Brunswick County, Virginia",51,025
11885,47227,"Northampton County, Virginia",51,131
22570,54600,"Rockbridge County, Virginia",51,163
3970,29000,"Norton city, Virginia",51,720
17428,54550,"Colonial Heights city, Virginia",51,570
6388,48531,"Bland County, Virginia",51,021
33343,71110,"Botetourt County, Virginia",51,023
16912,37500,"Bristol city, Virginia",51,520
14927,57463,"Williamsburg city, Virginia",51,830
29801,44835,"Carroll County, Virginia",51,035
1524553,67151,"Sacramento County, California",06,067
188563,83377,"El Dorado County, California",06,017
433410,71015,"Monterey County, California",06,053
874961,112449,"San Francisco County, California",06,075
3316073,78980,"San Diego County, California",06,073
461898,49687,"Tulare County, California",06,107
135940,48041,"Humboldt County, California",06,023
1039,63750,"Alpine County, California",06,003
155433,57585,"Madera County, California",06,039
273962,82234,"Santa Cruz County, California",06,087
12700,40846,"Trinity County, California",06,105
2411439,67005,"Riverside County, California",06,065
2149031,63362,"San Bernardino County, California",06,071
259943,115246,"Marin County, California",06,041
385512,89691,"Placer County, California",06,061
179212,54667,"Shasta County, California",06,089
441829,81472,"Solano County, California",06,095
21454,59401,"Colusa County, California",06,011
28501,42151,"Copiah County, Mississippi",28,029
238797,44625,"Hinds County, Mississippi",28,049
28507,45754,"Union County, Mississippi",28,145
22018,39246,"Tippah County, Mississippi",28,139
75224,39840,"Forrest County, Mississippi",28,035
53590,50272,"Lafayette County, Mississippi",28,071
59150,50441,"Lowndes County, Mississippi",28,087
8875,27313,"Wilkinson County, Mississippi",28,157
11339,32116,"Jefferson Davis County, Mississippi",28,065
28332,34943,"Scott County, Mississippi",28,123
28565,33279,"Yazoo County, Mississippi",28,163
31848,29854,"Bolivar County, Mississippi",28,011
39532,31784,"Pike County, Mississippi",28,113
18276,45483,"Stone County, Mississippi",28,131
9943,31103,"Kemper County, Mississippi",28,069
26168,30838,"Sunflower County, Mississippi",28,133
31266,29936,"Adams County, Mississippi",28,001
178975,67038,"DeSoto County, Mississippi",28,033
564554,74477,"Delaware County, Pennsylvania",42,045
74361,49089,"Somerset County, Pennsylvania",42,111
12179,43636,"Madison County, Missouri",29,123
20595,43276,"Vernon County, Missouri",29,217
22359,44232,"Nodaway County, Missouri",29,147
7483,46738,"Chariton County, Missouri",29,041
13195,34316,"Wayne County, Missouri",29,223
38633,44139,"Scott County, Missouri",29,201
11797,44125,"Barton County, Missouri",29,011
14043,39365,"Cedar County, Missouri",29,039
14711,54885,"Gasconade County, Missouri",29,073
15199,42746,"Macon County, Missouri",29,121
10647,33601,"Oregon County, Missouri",29,149
17848,60129,"Ste. Genevieve County, Missouri",29,186
13306,37425,"Douglas County, Missouri",29,067
21735,45795,"Henry County, Missouri",29,083
38204,44742,"Lawrence County, Missouri",29,109
52425,53492,"Pulaski County, Missouri",29,169
25604,35067,"Texas County, Missouri",29,215
44889,56938,"Callaway County, Missouri",29,027
17660,52735,"Cooper County, Missouri",29,053
6616,47790,"Gentry County, Missouri",29,075
54071,48495,"Washington County, Virginia",51,191
23788,51792,"Page County, Virginia",51,139
157613,100939,"Alexandria city, Virginia",51,510
135041,56287,"Hampton city, Virginia",51,650
233464,120071,"Arlington County, Virginia",51,013
21788,31956,"Buchanan County, Virginia",51,027
146773,111108,"Stafford County, Virginia",51,179
226622,47250,"Richmond city, Virginia",51,760
10998,51954,"Essex County, Virginia",51,057
41603,42099,"Tazewell County, Virginia",51,185
16986,88046,"Manassas Park city, Virginia",51,685
11377,49487,"Sussex County, Virginia",51,183
41174,81493,"Manassas city, Virginia",51,683
25317,57165,"Salem city, Virginia",51,775
12040,40573,"Charlotte County, Virginia",51,037
11525,50300,"Greensville County, Virginia",51,081
279711,72003,"Thurston County, Washington",53,067
3992,53423,"Columbia County, Washington",53,013
18514,17379,"Guayanilla Municipio, Puerto Rico",72,059
22560,17319,"Sabana Grande Municipio, Puerto Rico",72,121
15943,19030,"Hormigueros Municipio, Puerto Rico",72,067
28676,15399,"Utuado Municipio, Puerto Rico",72,141
11697,20442,"Florida Municipio, Puerto Rico",72,054
36161,15037,"Moca Municipio, Puerto Rico",72,099
28109,18189,"Salinas Municipio, Puerto Rico",72,123
13574,35357,"Mississippi County, Missouri",29,133
9207,31947,"Ozark County, Missouri",29,153
12225,44158,"Bollinger County, Missouri",29,017
183437,67204,"Sumner County, Tennessee",47,165
10231,56321,"Trousdale County, Tennessee",47,169
7654,32167,"Clay County, Tennessee",47,027
14641,61456,"Moultrie County, Illinois",17,139
15672,47492,"Pike County, Illinois",17,149
4203,38056,"Pope County, Illinois",17,151
262338,55179,"St. Clair County, Illinois",17,163
21737,52953,"Shelby County, Illinois",17,173
209922,52797,"Champaign County, Illinois",17,019
4830,63009,"Calhoun County, Illinois",17,013
13270,52092,"Ford County, Illinois",17,053
531376,79394,"Kane County, Illinois",17,089
126054,96563,"Kendall County, Illinois",17,093
6628,61655,"Brown County, Illinois",17,009
37743,47519,"Marion County, Illinois",17,121
13621,48417,"Mason County, Illinois",17,125
27812,52700,"Iroquois County, Illinois",17,075
13287,48500,"Clay County, Illinois",17,025
5064,44076,"Gallatin County, Illinois",17,059
34168,85747,"Monroe County, Illinois",17,133
16968,50625,"Union County, Illinois",17,181
